Commodity,Total Trade,Export,Import
00,6.33E+11,3.32E+11,3.00E+11
01,1560010512,857909898.9,702100613.1
02,375247947.1,236737672.4,138510274.7
03,3571593466,1814165765,1757427702
04,1344575920,718915540.9,625660379.3
05,62716887.06,26627923.1,36088963.96
06,156159236.1,83879662.88,72279573.17
07,1770701504,694968510.2,1075732994
08,3735732496,2008181845,1727550651
09,1526877506,780699485,746178020.9
10,4204432118,2125231593,2079200525
11,1215494171,628504577,586989593.8
12,413614842.9,180113551.7,233501291.2
13,121701910.8,64899937.55,56801973.2
14,124166428.2,53872685.34,70293742.86
15,8051801775,4266928552,3784873224
16,1132938142,611022380.1,521915761.6
17,4824425889,2485328571,2339097318
18,1749527607,979687518.8,769840088.4
19,5091591410,2633370840,2458220570
20,749847254.8,439703731.3,310143523.6
21,7402985969,3899563521,3503422448
22,5384228640,3799827446,1584401194
23,2385077049,1159890559,1225186490
24,3621990209,2465858476,1156131733
25,2988081222,1372727950,1615353272
26,664346712.2,445168917.8,219177794.5
27,1.29E+11,63308118271,65543975448
28,2738985248,1426426006,1312559242
29,11341958462,5768285783,5573672679
30,2692332322,1623225814,1069106508
31,1981094963,931176910.5,1049918053
32,3085481824,1695382353,1390099471
33,7385748376,4286212722,3099535654
34,2909189933,1566146470,1343043463
35,964425900.6,519751840.7,444674059.9
36,95335792.27,34601773.36,60734018.91
37,185211393.6,124718147.8,60493245.76
38,8140961475,4082760846,4058200629
39,26309233782,14133753703,12175480079
40,8215616241,4223010575,3992605666
41,1312933581,648448400.8,664485179.9
42,993794522.6,590236608.8,403557913.7
43,5428935.99,2653399.82,2775536.17
44,2865570282,1332603154,1532967128
45,2580893.43,878245.35,1702648.08
46,15641141.86,10465997.17,5175144.69
47,1009815467,259491026.6,750324440.1
48,7286447620,3444925676,3841521945
49,670581415.4,381345388.8,289236026.6
50,16382912.11,10332932.01,6049980.11
51,24306074.69,2936757.54,21369317.15
52,987831822.2,565724354,422107468.2
53,11935144.9,8243111.15,3692033.74
54,1620586289,883887769.9,736698519.1
55,1300397791,691529618.8,608868171.8
56,915811532.2,488457577.7,427353954.5
57,109861403.8,56321029.56,53540374.27
58,310673997.7,167473008,143200989.6
59,620429135.8,333886933.9,286542201.9
60,2644479212,1383036442,1261442771
61,1897082785,816425477.4,1080657308
62,1525843903,798741676.4,727102226.4
63,662869767.8,391500234.4,271369533.4
64,2635683894,1257098755,1378585139
65,135764809.3,77099759.43,58665049.9
66,4611166.82,2288383.2,2322783.62
67,108848413.7,99696068.02,9152345.71
68,1868887241,978782234.3,890105007.1
69,965081683.6,492746831.1,472334852.5
70,2683376672,1295697617,1387679055
71,23552070161,11749315476,11802754684
72,12833979024,6978509571,5855469453
73,8744374419,4723770763,4020603656
74,6915072687,3466418571,3448654116
75,333594045,266005084.9,67588960.04
76,4674657656,2520341049,2154316607
77,306644099.3,150772853.2,155871246.1
79,149599172.2,91677513.9,57921658.31
80,1349688646,758238085.9,591450560.5
81,62050141.62,33354340.07,28695801.55
82,1016276945,671496775.5,344780169.6
83,1395116923,770685366.7,624431556.6
84,64190557397,36075668762,28114888635
85,1.39E+11,74115265182,65295984246
86,213797163,112667210.7,101129952.3
87,33922805149,16726976878,17195828271
88,3797920784,2759253013,1038667771
89,2921814778,1958998314,962816464.3
90,13446990031,7166590521,6280399510
91,1602090361,1054621913,547468448.1
92,125293110.6,67709928.06,57583182.58
93,33863391.85,6753026.58,27110365.27
94,2427361254,1217042711,1210318543
95,895748976.6,541131663.3,354617313.3
96,1470271545,793712790,676558755.5
97,59107664.79,25427507.48,33680157.31
99,2411204310,1479176092,932028218.2
