Commodity,Total Trade,Export,Import
01,1487146354,271900609,1215245745
02,5714275490,1053947121,4660328369
03,17463932434,11582664365,5881268069
04,6372821502,1102666052,5270155450
05,970531448,189582830.5,780948617.5
06,484435599.1,316144906.6,168290692.6
08,4983396204,2027545623,2955850580
08,17953662901,12238966116,5714696785
09,5936182483,4785345887,1150836596
10,16961876818,6206562920,10755313898
11,3694823503,2127685386,1567138117
12,5833421904,1124661771,4708760133
13,869047339.7,449541429.9,419505909.7
14,289434404.7,277877310.9,11557093.78
15,28249725595,26776655391,1473070204
16,11030434216,10411986799,618447417.2
17,3770462764,2009199847,1761262917
18,4881925234,2682621795,2199303440
19,5769729651,4131037930,1638691721
20,5157478883,3645578946,1511899937
21,11271427776,7701521209,3569906566
22,6921665011,2736537639,4185127372
23,13980341316,3054222732,10926118585
24,3159113453,1273320158,1885793295
25,4591628106,2376838683,2214789423
26,11694734819,6579140520,5115594299
27,2.17E+11,78486963019,1.38E+11
28,11751001148,3279467465,8471533682
29,40648631937,19671111180,20977520756
30,21422972426,8203358421,13219614004
31,6346195146,927469800.5,5418725346
32,7989016064,1846262340,6142753724
33,18198370980,9694322110,8504048870
34,5882556818,3010308480,2872248337
35,3551386694,1172159990,2379226704
36,336989427.2,91690535.53,245298891.7
37,1054985815,231948121.9,823037692.6
38,28425486775,12981982455,15443504320
39,76990161484,32141652195,44848509289
40,41024945555,31631888133,9393057422
41,3460832671,693901745.1,2766930926
42,12449905682,8321327941,4128577740
43,1555592944,688401623.5,867191320.7
44,16325034189,12464022164,3861012025
45,19965737.1,1614043.07,18351694.03
46,447402146.9,413524771.7,33877375.19
47,7134049153,4006811383,3127237769
48,14298114661,6361099376,7937015285
49,1720220431,730411228.6,989809202
50,194910337.1,114347417.9,80562919.21
51,688279928.4,79596947.7,608682980.7
52,12319039192,4095574593,8223464599
53,348041141.8,104984894.5,243056247.2
54,8851208465,2496544181,6354664284
55,10305650110,3930534849,6375115261
56,3149944400,1040901728,2109042672
57,732318544.9,366367242.1,365951302.8
58,2407025911,314853872.4,2092172039
59,4151952940,921782962.8,3230169977
60,10288427331,675974132.5,9612453198
61,31630418221,29097553267,2532864954
62,30193418502,27223491362,2969927140
63,4027185984,2573218033,1453967951
64,28953690501,25466597055,3487093445
65,881054017.1,658048143.3,223005873.8
66,178854508.4,67206665.96,111647842.5
67,700840036.9,485520278.5,215319758.5
68,3270281045,1200360072,2069920972
69,4644690964,1606121910,3038569055
70,6101608623,2312533019,3789075604
71,62706055608,36451796238,26254259370
72,55124033263,12366347726,42757685537
73,29868390629,9267464099,20600926530
74,18419646867,8089258553,10330388315
75,3308681961,1907977727,1400704234
76,18761225702,5916905739,12844319964
77,1209312310,241160269,968152040.7
79,1977352135,189796930.3,1787555204
80,1769793679,1529233839,240559840.3
81,866800434.7,247682239.8,619118194.9
82,5481749812,1739974115,3741775697
83,4985495381,1547840007,3437655374
84,2.63E+11,1.15E+11,1.48E+11
85,5.67E+11,3.06E+11,2.61E+11
86,1559622966,283517922.6,1276105044
87,62503293628,30677989915,31825303713
88,30526511919,9768519841,20757992079
89,4583413221,2195162653,2388250568
90,69888919139,37073186956,32815732183
91,5829353767,2318712937,3510640831
92,1186634527,851464276.4,335170251
93,4688024129,1957868832,2730155297
94,22008221063,16121189314,5887031749
95,6625740262,3988441859,2637298403
96,4766215487,1635126940,3131088547
97,804036698.7,398068435.9,405968262.8
99,33531367235,25405398366,8125968868
