,Brunei,Cambodia,Indonesia,Laos,Malaysia,Myanmar,Philippines,Singapore,Thailand,Vietnam,European Union,Japan,China,United States,South Korea,Rest of the World
Brunei,0,7328.160439,38537557.26,1530.346608,611525098.7,18960.12736,119006451.8,966886329.1,552123944.1,198742895.7,22997437.73,2206885875,429095790.4,36756425.6,338118166.4,1518381090
Cambodia,14274045.16,0,23635905.1,2713961.16,117334044.7,4019643.83,37141880.57,274793148,511312987.4,374977081.2,4880925006,1138808863,1015184004,4410543303,212207602.8,1826904360
Indonesia,103153604.2,618521123.7,0,6836966.415,8801814961,875626154.4,6770111447,12916729721,6218393408,5153358373,14616732693,16003261515,27961887116,17844610867,7234408619,42557549565
Laos,0,16827096.8,2258373.14,0,14925938.49,1927650.76,317749.1,14704966.84,2406848899,1054899677,235584665.1,93567314.34,1672284906,29531178.83,5217898.82,260454047.2
Malaysia,552291308.8,602298260.5,7441921676,8085508.061,0,667517050.3,4387016521,33035665013,13479611889,8382723070,23128620619,15755421946,33690412076,23112440524,8147912789,65697061184
Myanmar,292659.24,17070028.7,160027611.1,532255.3,198246249.3,0,124250913.4,326507212.8,3228870410,227704809.7,3331082086,1428601122,5712672637,828694953.4,530638904.8,1881928688
Philippines,5256234,26159939,829016228,1089472,1825274249,54968873,0,3831791658,2972480229,1269635637,8285407863,10674916696,9814427518,11566752325,3240829679,16528975241
Singapore,1113105420,2277242685,27377681953,53474717.54,41184569145,3153116832,8532547069,0,15363560862,12971285491,34512551447,17648593504,51655901305,33242630048,15223335279,1.2638E+11
Thailand,116095527.9,7143637054,9071219963,3848794727,10462930151,4365373281,6931147749,8842704640,0,12103223430,23601470125,24533853467,29163880861,31351168330,4718021568,69887178431
Vietnam,66627612.14,4311011872,3369982800,702545498.3,3789343127,721494372,3734029212,3174304998,5050229704,0,41492442462,20426601682,41434238059,61371140854,19729245495,55237085515
European Union,661624730.6,758676316,12500904986,139046612.2,19042023285,874943705.6,9894232484,46977396530,20920976370,14940882093,0,0,0,0,0,0
Japan,206995680.8,881317346.8,15661831471,118205705.8,15346949442,501509528.6,11217877058,19408651005,33242591893,19532763358,0,0,0,0,0,0
China,672048347.3,7527738745,44930620705,1681037814,42371940534,6445160549,26756382001,49075006695,50367141815,75586161720,0,0,0,0,0,0
United States,322516371.1,306965562.5,9261642558,77882362.19,16571462071,344868763.2,8592796723,43807143929,17346678373,14367105697,0,0,0,0,0,0
South Korea,94386212.73,669910679.5,8421259397,71393834.26,9364106890,450567499.7,8759571461,13718393357,8635044984,46941929593,0,0,0,0,0,0
Rest of the World,1507626480,2001077259,40611576312,194945500,52690260726,1874351865,21534330297,1.07827E+11,57738252349,49962045628,0,0,0,0,0,0
