Country,Year,Intratrade
Brunei,2003,0.27
Brunei,2004,0.23
Brunei,2005,0.29
Brunei,2006,0.29
Brunei,2007,0.33
Brunei,2008,0.29
Brunei,2009,0.25
Brunei,2010,0.21
Brunei,2011,0.21
Brunei,2012,0.22
Brunei,2013,0.30
Brunei,2014,0.27
Brunei,2015,0.28
Brunei,2016,0.32
Brunei,2017,0.36
Brunei,2018,0.30
Brunei,2019,0.34
Cambodia,2003,0.36
Cambodia,2004,0.17
Cambodia,2005,0.20
Cambodia,2006,0.19
Cambodia,2007,0.20
Cambodia,2008,0.22
Cambodia,2009,0.24
Cambodia,2010,0.23
Cambodia,2011,0.23
Cambodia,2012,0.26
Cambodia,2013,0.22
Cambodia,2014,0.20
Cambodia,2015,0.26
Cambodia,2016,0.24
Cambodia,2017,0.26
Cambodia,2018,0.26
Cambodia,2019,0.26
Indonesia,2003,0.20
Indonesia,2004,0.21
Indonesia,2005,0.23
Indonesia,2006,0.23
Indonesia,2007,0.24
Indonesia,2008,0.26
Indonesia,2009,0.25
Indonesia,2010,0.27
Indonesia,2011,0.25
Indonesia,2012,0.25
Indonesia,2013,0.26
Indonesia,2014,0.26
Indonesia,2015,0.25
Indonesia,2016,0.24
Indonesia,2017,0.24
Indonesia,2018,0.24
Indonesia,2019,0.24
Laos,2003,0.74
Laos,2004,0.74
Laos,2005,0.58
Laos,2006,0.78
Laos,2007,0.74
Laos,2008,0.80
Laos,2009,0.84
Laos,2010,0.70
Laos,2011,0.65
Laos,2012,0.62
Laos,2013,0.61
Laos,2014,0.69
Laos,2015,0.64
Laos,2016,0.67
Laos,2017,0.61
Laos,2018,0.50
Laos,2019,0.61
Malaysia,2003,0.25
Malaysia,2004,0.25
Malaysia,2005,0.26
Malaysia,2006,0.26
Malaysia,2007,0.26
Malaysia,2008,0.25
Malaysia,2009,0.26
Malaysia,2010,0.26
Malaysia,2011,0.26
Malaysia,2012,0.27
Malaysia,2013,0.27
Malaysia,2014,0.27
Malaysia,2015,0.27
Malaysia,2016,0.27
Malaysia,2017,0.27
Malaysia,2018,0.27
Malaysia,2019,0.27
Myanmar,2003,0.64
Myanmar,2004,0.50
Myanmar,2005,0.52
Myanmar,2006,0.59
Myanmar,2007,0.55
Myanmar,2008,0.54
Myanmar,2009,0.52
Myanmar,2010,0.52
Myanmar,2011,0.55
Myanmar,2012,0.49
Myanmar,2013,0.44
Myanmar,2014,0.42
Myanmar,2015,0.40
Myanmar,2016,0.34
Myanmar,2017,0.35
Myanmar,2018,0.36
Myanmar,2019,0.34
Philippines,2003,0.18
Philippines,2004,0.18
Philippines,2005,0.18
Philippines,2006,0.19
Philippines,2007,0.20
Philippines,2008,0.20
Philippines,2009,0.21
Philippines,2010,0.25
Philippines,2011,0.21
Philippines,2012,0.21
Philippines,2013,0.19
Philippines,2014,0.20
Philippines,2015,0.20
Philippines,2016,0.22
Philippines,2017,0.22
Philippines,2018,0.22
Philippines,2019,0.22
Singapore,2003,0.31
Singapore,2004,0.30
Singapore,2005,0.29
Singapore,2006,0.29
Singapore,2007,0.29
Singapore,2008,0.28
Singapore,2009,0.27
Singapore,2010,0.27
Singapore,2011,0.27
Singapore,2012,0.27
Singapore,2013,0.27
Singapore,2014,0.26
Singapore,2015,0.26
Singapore,2016,0.26
Singapore,2017,0.26
Singapore,2018,0.26
Singapore,2019,0.25
Thailand,2003,0.19
Thailand,2004,0.19
Thailand,2005,0.20
Thailand,2006,0.20
Thailand,2007,0.20
Thailand,2008,0.20
Thailand,2009,0.21
Thailand,2010,0.20
Thailand,2011,0.21
Thailand,2012,0.21
Thailand,2013,0.22
Thailand,2014,0.23
Thailand,2015,0.23
Thailand,2016,0.23
Thailand,2017,0.23
Thailand,2018,0.24
Thailand,2019,0.23
Vietnam,2003,0.20
Vietnam,2004,0.20
Vietnam,2005,0.23
Vietnam,2006,0.24
Vietnam,2007,0.21
Vietnam,2008,0.21
Vietnam,2009,0.18
Vietnam,2010,0.17
Vietnam,2011,0.17
Vietnam,2012,0.17
Vietnam,2013,0.15
Vietnam,2014,0.14
Vietnam,2015,0.13
Vietnam,2016,0.12
Vietnam,2017,0.12
Vietnam,2018,0.12
Vietnam,2019,0.11
